Id,Label,In-Degree,Out-Degree,Degree,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,Eccentricity,Closeness Centrality,Betweenness Centrality,Authority,Hub,Modularity Class,PageRank,Component ID,Strongly-Connected ID,Clustering Coefficient,Eigenvector Centrality
Yunita-Ardiana,Yunita-Ardiana,0,3,3,3.0,0.0,3.0,1.0,1.0,0.0,0.0,0.004854369,5,4.7981039363461823E-4,2,1076,0.0,0.0
Bobby-Susanto,Bobby-Susanto,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,5,6.157581494511443E-4,2,1073,0.0,0.0029676092115891372
Said-Hayo,Said-Hayo,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,5,6.157581494511443E-4,2,1074,0.0,0.0029676092115891372
Ayo-Siapa,Ayo-Siapa,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,5,6.157581494511443E-4,2,1075,0.0,0.0029676092115891372
Aziza-Cloud,Aziza-Cloud,2,0,2,2.0,2.0,0.0,0.0,0.0,0.0,7.629705E-4,0.0,11,4.941416234329268E-4,0,77,0.5,0.29972853037050284
Graham-Luke,Graham-Luke,1,0,1,3.0,3.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,78,0.0,0.2967609211589137
Ernest-Ilyas-Abdullah-Fitra-Khalifa,Ernest-Ilyas-Abdullah-Fitra-Khalifa,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,79,0.0,0.2967609211589137
Sam-Siddiqui,Sam-Siddiqui,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,80,0.0,0.2967609211589137
Ella-Rose-Elhoudiri,Ella-Rose-Elhoudiri,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,81,0.0,0.2967609211589137
Mohammed-Khateeb-Kamran,Mohammed-Khateeb-Kamran,1,0,1,1.0,1.0,0.0,0.0,0.0,0.0,5.08647E-4,0.0,0,4.839455417466874E-4,0,82,0.0,0.2967609211589137
